YEAR,State,Constituency,Candidate,Party,Votes,Rank,Total_Votes_Const,Vote_Share_Percent,Is_Winner,Margin,Total_Assets,Criminal_Cases,Gender,Electors
2004,TAMIL NADU,CUDDALORE,VENKATAPATHY. K,DMK,400059.0,1.0,760180.0,52.62687784472099,1,131352,0.0,5.0,MALE,
2004,TAMIL NADU,DHARMAPURI,"SENTHIL, DR. R.",PMK,397540.0,1.0,709991.0,55.99225905680495,1,216090,0.0,0.0,MALE,
2004,TAMIL NADU,DINDIGUL,"CHITTHAN, N. S. V.",INC,407116.0,1.0,690231.0,58.98257250109021,1,155171,0.0,0.0,MALE,
2004,TAMIL NADU,GOBICHETTIPALAYAM,"ELANGOVAN, E. V. K. S.",INC,426826.0,1.0,680103.0,62.7590232655936,1,214477,0.0,13.0,MALE,
2004,TAMIL NADU,KARUR,"PALANISAMY, K. C.",DMK,450407.0,1.0,743592.0,60.57179205801031,1,190876,0.0,0.0,MALE,
2004,TAMIL NADU,KRISHNAGIRI,SUGAVANAM. E. G,DMK,403297.0,1.0,738737.0,54.592771175668744,1,119222,0.0,1.0,MALE,
2004,TAMIL NADU,MADRAS CENTRAL,DAYANIDHI MARAN,DMK,316329.0,1.0,512820.0,61.684216684216686,1,134178,0.0,0.0,MALE,
2004,TAMIL NADU,MADRAS NORTH,KUPPUSAMI. C,DMK,570122.0,1.0,915865.0,62.24956734889967,1,253539,0.0,1.0,MALE,
2004,TAMIL NADU,MADRAS SOUTH,"BAALU, T. R.",DMK,564578.0,1.0,934548.0,60.41187825558452,1,220740,0.0,0.0,MALE,
2004,TAMIL NADU,MADURAI,"MOHAN, P.",CPM,414433.0,1.0,739680.0,56.02868808133247,1,132840,0.0,0.0,MALE,
2004,TAMIL NADU,MAYILADUTHURAI,MANI SHANKAR AIYAR,INC,411160.0,1.0,695627.0,59.10638891244877,1,195691,0.0,0.0,MALE,
2004,TAMIL NADU,NAGAPATTINAM,"VIJAYAN, A. K. S.",DMK,463389.0,1.0,751436.0,61.667128005578654,1,216223,0.0,0.0,MALE,
2004,TAMIL NADU,NAGERCOIL,BELLARMIN. A. V.,CPM,410091.0,1.0,673555.0,60.884560280897624,1,164294,0.0,0.0,MALE,
2004,TAMIL NADU,NILGIRIS,PRABHU R.,INC,494121.0,1.0,780890.0,63.27664587842078,1,236502,0.0,0.0,MALE,
2004,TAMIL NADU,PALANI,"KHARVENTHAN, S. K.",INC,448900.0,1.0,695442.0,64.54887682941208,1,231493,0.0,0.0,MALE,
2004,TAMIL NADU,PERAMBALUR,"RAJA, A.",DMK,389708.0,1.0,707028.0,55.11917491245043,1,153333,0.0,0.0,MALE,
2004,TAMIL NADU,PERIYAKULAM,AARON RASHID J. M.,INC,346851.0,1.0,700534.0,49.5123719905101,1,21155,0.0,0.0,MALE,
2004,TAMIL NADU,POLLACHI,"KRISHNAN, DR. C",MDMK,364988.0,1.0,642999.0,56.763385324082925,1,120921,0.0,0.0,MALE,
2004,TAMIL NADU,PUDUKKOTTAI,"REGUPATHY, S.",DMK,466133.0,1.0,820271.0,56.82670727113357,1,156496,0.0,2.0,MALE,
2004,TAMIL NADU,RAMANATHAPURAM,BHAVANI RAJENTHIRAN. M. S. K.,DMK,335287.0,1.0,674387.0,49.71729882100337,1,109950,0.0,0.0,FEMALE,
2004,TAMIL NADU,RASIPURAM,RANI. K,INC,384170.0,1.0,695976.0,55.19874248537305,1,134533,0.0,1.0,FEMALE,
2004,TAMIL NADU,SALEM,THANGKABALU K. V.,INC,444591.0,1.0,741437.0,59.96342238113286,1,175627,0.0,0.0,MALE,
2004,TAMIL NADU,SIVAGANGA,"CHIDAMBARAM, P.",INC,400393.0,1.0,667208.0,60.01022169997962,1,162725,0.0,0.0,MALE,
2004,TAMIL NADU,SIVAKASI,"RAVICHANDRAN, A",MDMK,469072.0,1.0,830643.0,56.4709508176196,1,164517,0.0,0.0,MALE,
