YEAR,State,Gender,Candidates,Winners
2019,CHANDIGARH,FEMALE,1,1
2019,CHANDIGARH,MALE,3,0
2019,CHHATTISGARH,FEMALE,8,3
2019,CHHATTISGARH,MALE,30,8
2019,DADRA &AMP; NAGAR HAVELI,FEMALE,1,0
2019,DADRA &AMP; NAGAR HAVELI,MALE,5,1
2019,DAMAN &AMP; DIU,MALE,3,1
2019,GOA,MALE,6,2
2019,GUJARAT,FEMALE,8,6
2019,GUJARAT,MALE,61,20
2019,HARYANA,FEMALE,6,1
2019,HARYANA,MALE,35,9
2019,HIMACHAL PRADESH,MALE,9,4
2019,JAMMU &AMP; KASHMIR,FEMALE,1,0
2019,JAMMU &AMP; KASHMIR,MALE,27,6
2019,JHARKHAND,FEMALE,7,2
2019,JHARKHAND,MALE,58,12
2019,KARNATAKA,FEMALE,5,2
2019,KARNATAKA,MALE,67,26
2019,KERALA,FEMALE,7,1
2019,KERALA,MALE,56,19
2019,LAKSHADWEEP,MALE,3,1
2019,MADHYA PRADESH,FEMALE,13,4
2019,MADHYA PRADESH,MALE,80,25
2019,MAHARASHTRA,FEMALE,19,8
2019,MAHARASHTRA,MALE,153,39
2019,MANIPUR,MALE,10,2
2019,MEGHALAYA,FEMALE,1,1
2019,MEGHALAYA,MALE,5,1
2019,MIZORAM,MALE,5,1
2019,NAGALAND,MALE,3,1
2019,NCT OF DELHI,FEMALE,3,1
2019,NCT OF DELHI,MALE,21,6
2019,ODISHA,FEMALE,16,7
2019,ODISHA,MALE,57,14
2019,PUDUCHERRY,FEMALE,1,0
2019,PUDUCHERRY,MALE,3,1
2019,PUNJAB,FEMALE,7,2
2019,PUNJAB,MALE,46,11
2019,RAJASTHAN,FEMALE,8,3
2019,RAJASTHAN,MALE,65,22
2019,SIKKIM,MALE,4,1
2019,TAMIL NADU,FEMALE,27,3
2019,TAMIL NADU,MALE,166,35
2019,TELANGANA,FEMALE,7,1
2019,TELANGANA,MALE,65,16
2019,TRIPURA,FEMALE,2,1
2019,TRIPURA,MALE,6,1
2019,UTTAR PRADESH,FEMALE,34,11
2019,UTTAR PRADESH,MALE,220,70
2019,UTTARAKHAND,FEMALE,1,1
2019,UTTARAKHAND,MALE,13,4
2019,WEST BENGAL,FEMALE,36,10
2019,WEST BENGAL,MALE,131,31
