YEAR,State,Constituency,Total_Voters,Total_Electors,Total_Turnout,Male_Electors,Male_Voters,Male_Turnout,Female_Electors,Female_Voters,Female_Turnout,Coverage_Note
2009,ORISSA,DHENKANAL,856631.0,1283608.0,66.73618425562945,,,,,,,Official constituency aggregate where source data is available.
2009,ORISSA,JAGATSINGHPUR,983313.0,1455406.0,67.56279691027795,,,,,,,Official constituency aggregate where source data is available.
2009,ORISSA,JAJPUR,817108.0,1227088.0,66.58919327709178,,,,,,,Official constituency aggregate where source data is available.
2009,ORISSA,KALAHANDI,978393.0,1421959.0,68.80599229654301,,,,,,,Official constituency aggregate where source data is available.
2009,ORISSA,KANDHAMAL,707748.0,1065279.0,66.43780643380748,,,,,,,Official constituency aggregate where source data is available.
2009,ORISSA,KENDRAPARA,983010.0,1434425.0,68.52989873991321,,,,,,,Official constituency aggregate where source data is available.
2009,ORISSA,KEONJHAR,891746.0,1265225.0,70.48121875555731,,,,,,,Official constituency aggregate where source data is available.
2009,ORISSA,KORAPUT,759619.0,1217768.0,62.377973472779715,,,,,,,Official constituency aggregate where source data is available.
2009,ORISSA,MAYURBHANJ,824754.0,1173650.0,70.27256848293784,,,,,,,Official constituency aggregate where source data is available.
2009,ORISSA,NABARANGPUR,791935.0,1215653.0,65.14482339944047,,,,,,,Official constituency aggregate where source data is available.
2009,ORISSA,PURI,910151.0,1322817.0,68.80399934382459,,,,,,,Official constituency aggregate where source data is available.
2009,ORISSA,SAMBALPUR,800420.0,1233251.0,64.903251649502,,,,,,,Official constituency aggregate where source data is available.
2009,ORISSA,SUNDARGARH,766742.0,1248955.0,61.390682610662516,,,,,,,Official constituency aggregate where source data is available.
2009,PUDUCHERRY,PUDUCHERRY,607948.0,762440.0,79.73715964534914,,,,,,,Official constituency aggregate where source data is available.
2009,PUNJAB,AMRITSAR,814479.0,1241099.0,65.62562696448873,,,,,,,Official constituency aggregate where source data is available.
2009,PUNJAB,ANANDPUR SAHIB,904590.0,1338596.0,67.57752152255048,,,,,,,Official constituency aggregate where source data is available.
2009,PUNJAB,BHATINDA,1048228.0,1336790.0,78.41381219189252,,,,,,,Official constituency aggregate where source data is available.
2009,PUNJAB,FARIDKOT,930519.0,1288090.0,72.2402161339658,,,,,,,Official constituency aggregate where source data is available.
